site_name,site_code,state,lat,lon,environment_group
Wagga Wagga,NW,NSW,-35.119,147.368,Southern NSW
Young,NY,NSW,-34.311,148.300,Southern NSW
Cootamundra,NC,NSW,-34.642,148.028,Southern NSW
West Wyalong,NWY,NSW,-33.930,147.223,Southern NSW
Horsham,VH,VIC,-36.711,142.199,Victoria
Dimboola,VD,VIC,-36.451,141.904,Victoria
Murtoa,VMU,VIC,-36.613,142.470,Victoria
Sea Lake,VSL,VIC,-35.503,142.859,Victoria
Natimuk,VNA,VIC,-36.730,142.001,Victoria
St Arnaud,VSA,VIC,-36.620,143.258,Victoria
Three Springs,WT,WA,-29.538,115.769,Western Australia
Ravensthorpe,WR,WA,-33.581,120.049,Western Australia
Dongara,WD,WA,-29.257,114.934,Western Australia
Katanning,WK,WA,-33.692,117.556,Western Australia
Merredin,WMR,WA,-31.482,118.276,Western Australia
